"","survey","location_name","species","n_tl","n_healthy"
"390","December22","CBC Central","Isophyllia rigida",0,0
"391","December22","CBC Central","Isophyllia sinuosa",0,0
"392","December22","CBC Central","Madracis decactis",0,3
"393","December22","CBC Central","Meandrina meandrites",0,0
"394","December22","CBC Central","Montastraea cavernosa",0,1
"395","December22","CBC Central","Mycetophyllia aliciae",0,0
"396","December22","CBC Central","Mycetophyllia spp.",0,0
"397","December22","CBC Central","Orbicella spp.",0,2
"398","December22","CBC Central","Porites astreoides",1,119
"399","December22","CBC Central","Porites porites",0,54
"400","December22","CBC Central","Pseudodiploria clivosa",0,0
"401","December22","CBC Central","Pseudodiploria strigosa",0,2
"402","December22","CBC Central","Scolymia cubensis",0,0
"403","December22","CBC Central","Siderastrea radians",0,4
"404","December22","CBC Central","Siderastrea siderea",20,59
"405","December22","CBC Central","Stephanocoenia intersepta",0,10
"406","December22","CBC Lagoon","Acropora cervicornis",0,0
"407","December22","CBC Lagoon","Agaricia agaricites",1,24
"408","December22","CBC Lagoon","Agaricia lamarckiana",0,0
"409","December22","CBC Lagoon","Agaricia tenuifolia",2,115
"410","December22","CBC Lagoon","Colpophyllia natans",0,0
"411","December22","CBC Lagoon","Dendrogyra cylindrus",0,0
"412","December22","CBC Lagoon","Dichocoenia stokesii",0,0
"413","December22","CBC Lagoon","Diploria labyrinthiformis",0,0
"414","December22","CBC Lagoon","Eusmilia fastigiata",0,0
"415","December22","CBC Lagoon","Favia fragum",0,0
"416","December22","CBC Lagoon","Helioseris cucullata",0,2
"417","December22","CBC Lagoon","Isophyllia rigida",0,0
